WMC, classe_BC, chemin, classe, classe_LOC, classe_CLOC, classe_DC
27, 0.0055055055, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Classe.java, Classe.java, 148, 22, 0.14864865
2, 0.10869565, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\ClasseTest.java, ClasseTest.java, 115, 25, 0.2173913
2, 0.10185185, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\CSV.java, CSV.java, 108, 22, 0.2037037
40, 0.003787879, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, 264, 40, 0.15151516
0, Infinity, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\MethodeTest.java, MethodeTest.java, 338, 60, 0.17751479
5, 0.061333336, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\TP.java, TP.java, 75, 23, 0.30666667
32, 0.007, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\test.java, test.java, 125, 28, 0.224
